Timestamp,Src IP,Dst IP,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Flow Byts/s,Flow Pkts/s,SYN Flag Cnt,ACK Flag Cnt,PSH Flag Cnt,RST Flag Cnt,Label
23/02/2018 09:00:00,192.168.10.6,10.0.0.1,3389,17,27967.0,46,31,21436.0,16957.0,1372305.8226400258,2752.260785645352,0,1,1,0,Benign
23/02/2018 09:00:00,192.168.10.7,172.16.0.1,443,17,33545.0,16,48,13824.0,9360.0,690925.3464461332,1907.316346297124,1,1,0,0,Benign
23/02/2018 09:00:00,192.168.10.8,10.0.0.1,21,17,23927.0,19,2,10184.0,1064.0,469900.15457241924,877.3029201654342,0,1,0,0,Benign
23/02/2018 09:00:02,192.168.10.1,172.16.0.1,22,17,4128.0,43,10,41323.0,480.0,10102223.296278397,12808.119864668924,1,0,0,0,Benign
23/02/2018 09:00:02,192.168.10.11,172.16.0.1,21,17,19369.0,10,43,7880.0,32551.0,2086330.5640125908,2734.919242478972,0,1,0,0,Benign
23/02/2018 09:00:02,192.168.10.2,172.16.0.1,8080,6,37629.0,46,42,9246.0,33012.0,1122718.4569196843,2338.00047822737,1,1,1,0,Benign
23/02/2018 09:00:01,192.168.10.5,172.16.0.1,8080,6,4286.0,44,44,22176.0,32780.0,12792364.990689015,20484.171322160153,0,0,1,0,Benign
23/02/2018 09:00:05,192.168.10.10,10.0.0.1,21,17,24110.0,27,8,23868.0,992.0,1030679.9336650083,1451.077943615257,0,1,0,0,Benign
23/02/2018 09:00:04,192.168.10.2,10.0.0.1,22,6,1102.0,8,8,1365.0,17803.0,17237410.07194245,14388.489208633095,0,0,1,0,Brute Force -XSS
23/02/2018 09:00:03,192.168.10.5,172.16.0.1,80,17,40423.0,23,6,8855.0,1938.0,266935.424034823,717.2359211535131,1,1,0,0,Benign
23/02/2018 09:00:06,192.168.10.4,172.16.0.1,21,6,33411.0,42,30,14154.0,3900.0,540199.2759043714,2154.334101313545,0,0,1,0,Benign
23/02/2018 09:00:04,192.168.10.3,172.16.0.2,3389,6,12790.0,40,18,29520.0,17928.0,3706875.0000000005,4531.25,0,0,1,0,Benign
23/02/2018 09:00:07,192.168.10.12,172.16.0.2,21,6,2600.0,8,5,1176.0,33908.0,13442145.593869733,4980.842911877395,0,0,0,0,Brute Force -XSS
23/02/2018 09:00:05,192.168.10.12,172.16.0.2,80,6,210.0,43,45,1849.0,6435.0,37654545.45454545,400000.0,0,1,0,0,Benign
23/02/2018 09:00:04,192.168.10.6,172.16.0.2,443,17,48046.0,19,45,7866.0,22050.0,622523.7223239554,1331.7795904777759,0,1,0,0,Benign
23/02/2018 09:00:03,192.168.10.3,172.16.0.2,443,17,29104.0,19,43,4465.0,42355.0,1608161.0221886376,2129.559662018273,0,1,1,0,Benign
23/02/2018 09:00:08,192.168.10.13,10.0.0.1,8080,6,20079.0,49,10,36309.0,5630.0,2087659.913385435,2936.9306585693666,0,0,1,0,Benign
23/02/2018 09:00:10,192.168.10.10,10.0.0.1,80,6,48414.0,4,23,892.0,17112.0,371799.1078803899,557.5747563191806,0,1,0,0,Benign
23/02/2018 09:00:03,192.168.10.15,172.16.0.2,21,17,8797.0,11,7,10252.0,3374.0,1547178.3808334281,2043.8287725672762,0,0,0,0,Benign
23/02/2018 09:00:13,192.168.10.15,172.16.0.2,3389,6,48702.0,41,2,20705.0,120.0,427512.72786992934,882.7393660699621,0,1,0,0,Benign
23/02/2018 09:00:10,192.168.10.4,172.16.0.1,80,6,37493.0,46,36,5290.0,6624.0,317681.25216649333,2186.4917473268806,0,0,0,0,Benign
23/02/2018 09:00:02,192.168.10.15,10.0.0.1,80,17,43796.0,43,5,5074.0,3685.0,199949.77856914577,1095.7403095466373,1,0,0,0,Benign
23/02/2018 09:00:02,192.168.10.5,172.16.0.2,443,17,3088.0,16,27,14144.0,19926.0,10997417.688831504,13879.922530664944,0,0,0,0,Benign
23/02/2018 09:00:16,192.168.10.13,172.16.0.1,443,17,45868.0,15,41,7320.0,36367.0,952242.9050961245,1220.6286237412266,1,1,1,0,Benign
23/02/2018 09:00:07,192.168.10.11,172.16.0.1,3389,17,12646.0,34,24,19278.0,18720.0,3002370.4171934263,4582.806573957017,1,1,1,0,Benign
23/02/2018 09:00:05,192.168.10.15,172.16.0.2,22,17,10734.0,3,27,2406.0,19521.0,2040860.0148920328,2792.2561429635143,0,0,0,0,Benign
23/02/2018 09:00:07,192.168.10.7,10.0.0.1,21,6,2614.0,7,6,640.0,9449.0,3844893.2926829266,4954.268292682927,0,0,0,1,Brute Force -XSS
23/02/2018 09:00:21,192.168.10.5,10.0.0.1,8080,17,19500.0,44,6,18568.0,5790.0,1248487.9548949257,2562.7883136852897,0,1,1,0,Benign
23/02/2018 09:00:05,192.168.10.9,172.16.0.1,21,17,24324.0,20,17,19860.0,11815.0,1301676.6663927017,1520.5062874989728,0,1,1,0,Benign
23/02/2018 09:00:05,192.168.10.9,172.16.0.2,22,17,15989.0,47,2,44744.0,1554.0,2893805.862866429,3062.6914182136384,0,1,1,0,Benign
23/02/2018 09:00:15,192.168.10.10,172.16.0.2,22,17,41519.0,25,35,12950.0,6335.0,464374.2926629584,1444.7735317488982,1,0,0,0,Benign
23/02/2018 09:00:15,192.168.10.14,10.0.0.1,21,6,2714.0,5,9,30144.0,3035.0,12180249.632892806,5139.500734214391,1,1,1,1,Brute Force -XSS
23/02/2018 09:00:16,192.168.10.7,172.16.0.2,22,17,4979.0,9,12,6588.0,5880.0,2499098.015634396,4209.260372820205,0,0,0,0,Benign
23/02/2018 09:00:23,192.168.10.14,172.16.0.1,80,6,33380.0,16,36,6688.0,25992.0,978736.1485474692,1557.352500748727,0,0,0,0,Benign
23/02/2018 09:00:20,192.168.10.6,172.16.0.1,3389,17,,35,19,24255.0,16435.0,2091493.1894114623,2775.6360832690825,0,0,1,0,Benign
23/02/2018 09:00:10,192.168.10.8,172.16.0.2,22,6,2528.0,9,5,23706.0,7777.0,12404649.330181245,5516.154452324666,1,0,0,1,Brute Force -Web
23/02/2018 09:00:18,192.168.10.13,10.0.0.1,22,6,2933.0,5,9,25256.0,6745.0,10873598.369011214,4757.050628610262,1,1,0,1,Brute Force -Web
23/02/2018 09:00:07,192.168.10.13,172.16.0.1,22,6,2047.0,7,8,6227.0,18204.0,11877005.347593581,7292.173067574136,0,1,0,0,Brute Force -Web
23/02/2018 09:00:22,192.168.10.6,172.16.0.1,3389,6,9220.0,11,41,8008.0,32185.0,4354604.550379198,5633.802816901408,0,1,1,0,Benign
23/02/2018 09:00:15,192.168.10.6,172.16.0.1,22,17,17610.0,44,43,4488.0,11137.0,886776.3904653803,4937.570942111237,1,1,1,0,Benign
23/02/2018 09:00:04,192.168.10.14,10.0.0.1,22,6,26075.0,8,27,5448.0,11934.0,666359.9769982749,1341.7672992141077,0,0,0,0,Benign
