Timestamp,Src IP,Dst IP,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Flow Byts/s,Flow Pkts/s,SYN Flag Cnt,ACK Flag Cnt,PSH Flag Cnt,RST Flag Cnt,Label
01/03/2018 09:00:00,192.168.10.4,10.0.0.1,80,17,18243.0,1,19,217.0,13034.0,725962.8554210267,1095.7102941982141,1,0,1,0,Benign
01/03/2018 09:00:00,192.168.10.8,172.16.0.1,80,6,269.0,194,6,12416.0,384.0,45878136.200716846,716845.8781362007,1,0,1,0,DDoS-LOIC-HTTP
01/03/2018 09:00:01,192.168.10.14,172.16.0.1,80,6,12225.0,44,3,9064.0,2430.0,939436.0441356763,3841.438496117695,1,1,1,0,Benign
01/03/2018 09:00:00,192.168.10.12,172.16.0.2,80,6,240.0,909,0,58176.0,0.0,232704000.0,3636000.0,0,0,1,1,DDoS-LOIC-HTTP
01/03/2018 09:00:00,192.168.10.15,172.16.0.2,22,6,42639.0,41,35,2378.0,14350.0,392224.9056249853,1781.98785434594,0,0,0,0,Benign
01/03/2018 09:00:00,192.168.10.15,172.16.0.2,22,17,18020.0,9,30,1620.0,19350.0,1163061.5640599001,2163.0615640599,1,0,1,0,Benign
01/03/2018 09:00:01,192.168.10.1,172.16.0.1,80,6,216.0,945,2,60480.0,128.0,268176991.15044248,4190265.4867256638,1,0,0,1,DDoS-HOIC
01/03/2018 09:00:06,192.168.10.8,172.16.0.2,80,17,9870.0,1,38,845.0,12540.0,1354757.085020243,3947.3684210526317,1,0,1,0,Benign
01/03/2018 09:00:07,192.168.10.3,172.16.0.1,80,6,427.0,287,6,18368.0,384.0,42910755.14874142,670480.5491990846,0,0,1,1,DDoS-HOIC
01/03/2018 09:00:04,192.168.10.14,10.0.0.1,3389,6,48261.0,39,41,26676.0,2706.0,608688.4464792525,1657.3097719127427,1,0,0,0,Benign
01/03/2018 09:00:04,192.168.10.12,172.16.0.2,8080,6,29774.0,31,23,5983.0,22264.0,948395.1114692453,1813.0539887187754,0,1,0,0,Benign
01/03/2018 09:00:09,192.168.10.11,172.16.0.1,8080,6,49478.0,24,21,23016.0,14280.0,753637.2453928224,909.3113482056256,0,1,0,0,Benign
01/03/2018 09:00:07,192.168.10.1,172.16.0.2,8080,6,36510.0,49,9,28420.0,1539.0,820345.0164293537,1588.1708652792988,1,0,0,0,Benign
01/03/2018 09:00:06,192.168.10.7,172.16.0.2,21,6,10647.0,43,22,27219.0,2310.0,2770854.837196209,6099.277470207376,1,0,1,0,Benign
01/03/2018 09:00:04,192.168.10.4,10.0.0.1,80,6,477.0,347,5,22208.0,320.0,46258726.899383985,722792.6078028748,1,0,0,1,DDoS-LOIC-HTTP
01/03/2018 09:00:07,192.168.10.9,10.0.0.1,80,6,361.0,501,5,32064.0,320.0,87288409.70350404,1363881.4016172506,0,0,1,1,DDoS-HOIC
01/03/2018 09:00:12,192.168.10.15,172.16.0.1,3389,17,43374.0,13,1,11544.0,558.0,278950.7652590817,322.6996127604646,0,1,0,0,Benign
01/03/2018 09:00:13,192.168.10.8,172.16.0.2,3389,17,35143.0,9,24,864.0,8664.0,271043.7231530737,938.7534492077489,1,1,1,0,Benign
01/03/2018 09:00:01,192.168.10.1,10.0.0.1,21,17,5695.0,48,7,9792.0,4018.0,2420683.61086766,9640.666082383874,0,0,0,0,Benign
01/03/2018 09:00:15,192.168.10.13,10.0.0.1,21,17,49885.0,20,38,10740.0,35302.0,922777.8334502454,1162.4411263653672,0,1,1,0,Benign
01/03/2018 09:00:12,192.168.10.15,172.16.0.1,21,6,28112.0,9,25,6516.0,6050.0,446838.7739136619,1209.0178507929734,1,0,0,0,Benign
01/03/2018 09:00:18,192.168.10.9,10.0.0.1,3389,6,29642.0,44,34,29480.0,8092.0,1267098.3407527315,2630.513961958721,1,1,0,0,Benign
01/03/2018 09:00:17,192.168.10.12,172.16.0.2,21,17,42206.0,32,22,5344.0,15136.0,485124.1235550502,1279.1358726549174,1,1,0,0,Benign
01/03/2018 09:00:16,192.168.10.14,10.0.0.1,21,17,46421.0,16,24,11248.0,7560.0,405074.19611897226,861.4933988068317,0,0,1,0,Benign
01/03/2018 09:00:16,192.168.10.6,172.16.0.2,80,6,28416.0,41,31,5412.0,6293.0,411770.91395201575,2532.8924224301695,0,1,1,0,Benign
01/03/2018 09:00:10,192.168.10.7,172.16.0.1,21,6,38059.0,40,44,37840.0,30976.0,1807665.0292889224,2206.5197404712494,1,1,0,0,Benign
01/03/2018 09:00:20,192.168.10.9,10.0.0.1,22,6,28461.0,19,38,7372.0,1710.0,318991.2542587194,2002.037160619578,1,1,1,0,Benign
01/03/2018 09:00:08,192.168.10.10,172.16.0.2,443,17,21034.0,23,3,7360.0,816.0,388519.29291009315,1235.5065576886523,1,1,1,0,Benign
01/03/2018 09:00:08,192.168.10.4,172.16.0.1,22,17,12980.0,29,31,16211.0,3255.0,1498537.3364126252,4618.937644341801,1,0,1,0,Benign
01/03/2018 09:00:26,192.168.10.2,172.16.0.2,3389,6,11806.0,11,38,1353.0,7942.0,786645.2268111035,4146.919431279621,1,1,1,0,Benign
01/03/2018 09:00:09,192.168.10.7,172.16.0.2,80,6,347.0,140,8,8960.0,512.0,26532212.88515406,414565.8263305322,0,1,1,0,DDoS-HOIC
01/03/2018 09:00:03,192.168.10.15,172.16.0.1,443,6,20763.0,21,12,6363.0,1128.0,360612.33331728686,1588.6005873008232,0,1,1,0,Benign
01/03/2018 09:00:16,192.168.10.15,10.0.0.1,8080,6,11868.0,3,45,2934.0,11070.0,1178986.361340293,4041.0843576359657,0,1,1,0,Benign
01/03/2018 09:00:06,192.168.10.15,172.16.0.2,22,6,36774.0,16,3,14096.0,1404.0,421378.86037407565,516.5289256198347,1,0,0,0,Benign
01/03/2018 09:00:20,192.168.10.4,172.16.0.2,443,17,3150.0,40,6,10000.0,5034.0,4757594.936708861,14556.962025316456,0,0,0,0,Benign
01/03/2018 09:00:17,192.168.10.14,172.16.0.2,80,6,376.0,328,4,20992.0,256.0,55046632.12435233,860103.6269430051,1,0,1,1,DDoS-HOIC
01/03/2018 09:00:28,192.168.10.3,172.16.0.2,3389,6,49361.0,45,42,17415.0,39690.0,1156650.665370359,1762.1680743756453,0,0,1,0,Benign
01/03/2018 09:00:22,192.168.10.3,10.0.0.1,21,6,16462.0,39,20,4875.0,860.0,348166.5857212239,3581.835842642059,1,1,1,0,Benign
01/03/2018 09:00:19,192.168.10.10,172.16.0.2,443,17,48743.0,3,2,738.0,840.0,32367.238939142204,102.55779131540622,0,1,0,0,Benign
01/03/2018 09:00:03,192.168.10.8,172.16.0.1,21,6,224.0,15,3,11325.0,597.0,50948717.94871795,76923.07692307692,0,1,0,0,Benign
01/03/2018 09:00:24,192.168.10.11,172.16.0.1,80,6,395.0,649,2,41536.0,128.0,102874074.07407406,1607407.4074074072,1,1,1,1,DDoS-LOIC-HTTP
01/03/2018 09:00:08,192.168.10.7,172.16.0.1,80,6,216.0,838,5,53632.0,320.0,238725663.71681416,3730088.4955752213,1,1,0,0,DDoS-HOIC
01/03/2018 09:00:16,192.168.10.14,10.0.0.1,80,6,90.0,455,0,29120.0,0.0,291200000.0,4550000.0,0,0,0,1,DDoS-LOIC-HTTP
01/03/2018 09:00:30,192.168.10.12,10.0.0.1,21,6,34036.0,16,42,4848.0,16968.0,640780.1210127474,1703.5775127768313,1,0,0,0,Benign
01/03/2018 09:00:26,192.168.10.3,172.16.0.1,3389,6,4416.0,28,5,9548.0,1050.0,2394487.1215544515,7455.942159963851,0,0,0,0,Benign
01/03/2018 09:00:09,192.168.10.14,172.16.0.2,8080,17,32652.0,47,8,14429.0,544.0,458422.63180454343,1683.9140285346884,1,0,0,0,Benign
01/03/2018 09:00:18,192.168.10.1,172.16.0.2,80,17,37751.0,24,26,22656.0,16354.0,1033076.454543047,1324.1174757024442,0,0,1,0,Benign
01/03/2018 09:00:42,192.168.10.5,10.0.0.1,443,17,40545.0,5,48,4270.0,13200.0,430773.0242880039,1306.867217359142,1,1,0,0,Benign
01/03/2018 09:00:19,192.168.10.10,10.0.0.1,3389,17,24510.0,29,41,13920.0,8282.0,905464.9265905384,2854.8123980424143,0,0,1,0,Benign
01/03/2018 09:00:39,192.168.10.5,10.0.0.1,80,6,178.0,237,9,15168.0,576.0,83744680.85106383,1308510.6382978724,1,0,0,1,DDoS-LOIC-HTTP
01/03/2018 09:00:40,192.168.10.8,10.0.0.1,80,6,455.0,732,6,46848.0,384.0,101574193.5483871,1587096.7741935484,0,1,1,1,DDoS-LOIC-HTTP
01/03/2018 09:00:10,192.168.10.6,172.16.0.1,8080,17,10515.0,12,40,8196.0,39720.0,4552589.073634204,4940.61757719715,1,1,0,0,Benign
01/03/2018 09:00:41,192.168.10.15,10.0.0.1,3389,6,34512.0,39,11,33189.0,1221.0,996755.6920224783,1448.351775679277,1,1,0,0,Benign
01/03/2018 09:00:37,192.168.10.8,172.16.0.1,3389,17,36267.0,18,10,5706.0,5230.0,301458.22421920224,771.8389061940071,1,0,0,0,Benign
01/03/2018 09:00:27,192.168.10.11,172.16.0.2,22,6,5870.0,6,28,2178.0,20160.0,3798979.5918367347,5782.312925170068,0,0,0,0,Benign
01/03/2018 09:00:16,192.168.10.15,172.16.0.2,22,6,46297.0,18,32,14364.0,26592.0,884445.1162891139,1079.7503617163711,1,0,0,0,Benign
01/03/2018 09:00:28,192.168.10.5,10.0.0.1,80,6,77.0,139,0,8896.0,0.0,102252873.56321838,1597701.1494252873,1,1,1,0,DDoS-LOIC-HTTP
01/03/2018 09:00:28,192.168.10.11,172.16.0.2,80,6,203.0,795,5,50880.0,320.0,240375586.8544601,3755868.544600939,1,0,0,1,DDoS-HOIC
01/03/2018 09:00:40,192.168.10.13,172.16.0.1,443,17,21862.0,7,14,322.0,6160.0,296360.64374542795,960.1316752011705,1,1,1,0,Benign
01/03/2018 09:00:41,192.168.10.9,172.16.0.1,21,17,7793.0,9,5,3690.0,860.0,583109.0606177112,1794.181724977573,0,0,1,0,Benign
01/03/2018 09:00:30,192.168.10.4,172.16.0.2,3389,6,31249.0,39,27,3198.0,24948.0,900412.6811478294,2111.391919127291,1,1,1,0,Benign
01/03/2018 09:00:36,192.168.10.4,172.16.0.2,22,6,12072.0,29,46,28768.0,6854.0,2948352.921701705,6207.581526237378,1,0,0,0,Benign
01/03/2018 09:00:06,192.168.10.1,10.0.0.1,443,17,44379.0,16,4,1808.0,2528.0,97681.8581180022,450.56207619004704,1,0,0,0,Benign
01/03/2018 09:00:06,192.168.10.12,172.16.0.2,3389,17,32030.0,10,5,3750.0,4610.0,260923.84519350805,468.16479400749057,0,0,1,0,Benign
01/03/2018 09:00:38,192.168.10.2,10.0.0.1,443,17,27461.0,3,13,1416.0,9282.0,389428.8522441848,582.4323832405082,0,1,1,0,Benign
01/03/2018 09:00:45,192.168.10.13,172.16.0.1,3389,6,24303.0,5,43,1415.0,22446.0,981409.1226915641,1974.252457533007,0,1,1,0,Benign
01/03/2018 09:00:06,192.168.10.11,172.16.0.2,22,17,44059.0,15,49,2250.0,48314.0,1147382.5137852004,1452.2680342190654,0,0,0,0,Benign
01/03/2018 09:00:20,192.168.10.6,10.0.0.1,22,17,38565.0,21,24,15036.0,12744.0,720155.5411535968,1166.5586519766687,0,1,0,0,Benign
01/03/2018 09:00:06,192.168.10.13,10.0.0.1,80,6,20574.0,16,46,15888.0,11592.0,1335017.4893120872,3012.048192771085,1,1,0,0,Benign
01/03/2018 09:01:02,192.168.10.9,172.16.0.1,80,17,1368.0,10,19,6070.0,8550.0,10609579.100145137,21044.992743105948,0,1,0,0,Benign
01/03/2018 09:00:14,192.168.10.15,10.0.0.1,22,17,9050.0,29,47,27811.0,31161.0,6509050.772626932,8388.520971302429,1,1,0,0,Benign
01/03/2018 09:00:42,192.168.10.10,172.16.0.1,80,6,340.0,426,1,27264.0,64.0,78079999.99999999,1219999.9999999998,0,0,0,0,DDoS-HOIC
01/03/2018 09:00:14,192.168.10.6,172.16.0.1,3389,17,19257.0,1,18,738.0,7146.0,409197.07271500496,986.1421082680231,1,0,0,0,Benign
01/03/2018 09:00:51,192.168.10.5,172.16.0.2,443,17,19878.0,13,37,2379.0,35150.0,1887017.2968624297,2514.07884151247,1,0,0,0,Benign
01/03/2018 09:00:14,192.168.10.13,10.0.0.1,80,6,106.0,965,6,61760.0,384.0,535724137.9310345,8370689.655172414,1,1,1,1,DDoS-HOIC
01/03/2018 09:00:52,192.168.10.10,172.16.0.2,8080,6,34667.0,20,8,7400.0,5696.0,377656.66003402823,807.4516249963951,1,1,0,0,Benign
01/03/2018 09:01:08,192.168.10.4,172.16.0.2,443,6,24241.0,11,40,3058.0,14680.0,731433.7553090595,2103.006061605707,0,0,0,0,Benign
01/03/2018 09:00:46,192.168.10.3,10.0.0.1,22,17,38885.0,22,12,10934.0,2028.0,333256.20259673474,874.1483481167244,1,1,1,0,Benign
01/03/2018 09:01:02,192.168.10.10,172.16.0.2,22,6,6128.0,9,39,5769.0,27924.0,5489247.311827958,7820.136852394918,1,1,1,0,Benign
01/03/2018 09:00:23,192.168.10.12,10.0.0.1,80,6,219.0,156,4,9984.0,256.0,44716157.205240175,698689.9563318777,0,0,0,1,DDoS-LOIC-HTTP
01/03/2018 09:00:08,192.168.10.7,10.0.0.1,443,17,2481.0,1,30,488.0,4620.0,2050582.095543958,12444.801284624647,0,0,0,0,Benign
01/03/2018 09:01:04,192.168.10.11,10.0.0.1,80,17,41063.0,32,31,27392.0,16833.0,1076741.411632946,1533.8543568767802,0,0,1,0,Benign
01/03/2018 09:00:49,192.168.10.1,172.16.0.2,80,6,295.0,999,1,63936.0,64.0,209836065.57377046,3278688.5245901635,0,1,0,1,DDoS-LOIC-HTTP
01/03/2018 09:00:33,192.168.10.5,10.0.0.1,80,6,57.0,272,2,17408.0,128.0,261731343.2835821,4089552.23880597,0,0,0,1,DDoS-LOIC-HTTP
01/03/2018 09:00:16,192.168.10.11,172.16.0.2,3389,6,34141.0,47,9,6204.0,2358.0,250710.08169599719,1639.7762876636116,1,0,1,0,Benign
01/03/2018 09:01:16,192.168.10.11,10.0.0.1,3389,6,46395.0,38,44,3116.0,5764.0,191358.68979635814,1767.0509643357395,1,1,1,0,Benign
01/03/2018 09:00:34,192.168.10.2,10.0.0.1,443,17,28716.0,38,30,19304.0,3000.0,776439.4625078327,2367.1934832555876,0,0,1,0,Benign
01/03/2018 09:01:00,192.168.10.15,10.0.0.1,443,17,785.0,25,1,17250.0,899.0,22828930.817610063,32704.402515723268,0,1,1,0,Benign
01/03/2018 09:00:44,192.168.10.12,172.16.0.2,3389,6,35894.0,32,20,9760.0,14140.0,665663.9928698752,1448.3065953654186,0,1,0,0,Benign
01/03/2018 09:01:20,192.168.10.12,172.16.0.1,21,6,1648.0,38,3,12616.0,1200.0,8332931.242460797,24728.588661037396,1,1,1,0,Benign
01/03/2018 09:00:27,192.168.10.1,172.16.0.1,22,6,35505.0,44,1,6160.0,746.0,194453.04800788398,1267.0702520061943,0,0,1,0,Benign
01/03/2018 09:00:36,192.168.10.14,172.16.0.2,80,6,20871.0,25,8,9625.0,1400.0,527991.9544083137,1580.3840812221636,1,0,0,0,Benign
01/03/2018 09:00:18,192.168.10.6,10.0.0.1,21,6,26534.0,27,25,11178.0,13375.0,924992.4653405667,1959.0114526823388,0,1,0,0,Benign
01/03/2018 09:01:14,192.168.10.15,172.16.0.2,8080,6,35199.0,33,18,19800.0,15318.0,997415.4335539207,1448.4932829674228,1,0,0,0,Benign
01/03/2018 09:01:15,192.168.10.10,10.0.0.1,8080,17,30288.0,6,20,1080.0,8000.0,299689.74849825073,858.1424516469734,0,1,1,0,Benign
01/03/2018 09:00:19,192.168.10.8,172.16.0.2,80,17,24057.0,14,47,5852.0,14429.0,842689.1594299249,2534.5909336435784,1,0,0,0,Benign
01/03/2018 09:00:19,192.168.10.5,10.0.0.1,3389,6,18263.0,26,11,23140.0,3256.0,1444535.653696711,2024.8454003174081,1,0,1,0,Benign
01/03/2018 09:01:07,192.168.10.14,172.16.0.1,80,6,15.0,809,4,51776.0,256.0,2081280000.0,32520000.0,0,1,1,1,DDoS-LOIC-HTTP
01/03/2018 09:00:58,192.168.10.1,172.16.0.1,22,6,26595.0,4,29,2268.0,25810.0,1055365.5327945875,1240.3683518135688,0,0,0,0,Benign
01/03/2018 09:01:29,192.168.10.6,172.16.0.1,443,6,10900.0,29,13,24563.0,8021.0,2986617.7818515124,3849.67919340055,0,0,0,0,Benign
01/03/2018 09:01:10,192.168.10.9,10.0.0.1,8080,17,28139.0,1,2,255.0,432.0,24405.840349568367,106.57572205051689,0,0,0,0,Benign
01/03/2018 09:00:30,192.168.10.5,10.0.0.1,80,6,35.0,394,1,25216.0,64.0,561777777.7777778,8777777.777777778,1,0,1,1,DDoS-HOIC
01/03/2018 09:00:30,192.168.10.8,172.16.0.2,80,6,40.0,619,4,39616.0,256.0,797440000.0,12460000.0,0,1,1,1,DDoS-LOIC-HTTP
01/03/2018 09:01:12,192.168.10.2,10.0.0.1,21,6,38235.0,40,15,25920.0,9675.0,930709.8967185252,1438.0964832004183,1,1,0,0,Benign
01/03/2018 09:01:23,192.168.10.4,10.0.0.1,80,6,437.0,517,5,33088.0,320.0,74738255.03355704,1167785.2348993288,0,0,0,1,DDoS-HOIC
01/03/2018 09:01:13,192.168.10.4,172.16.0.2,80,6,15569.0,47,9,19975.0,2349.0,1432954.6183965595,3594.582450734964,1,0,1,0,Benign
01/03/2018 09:01:03,192.168.10.13,172.16.0.1,3389,17,15170.0,47,19,17437.0,7581.0,1648089.5915678525,4347.826086956522,0,0,0,0,Benign
01/03/2018 09:00:10,192.168.10.13,172.16.0.1,80,6,150.0,832,6,53248.0,384.0,335200000.0,5237500.0,1,0,0,0,DDoS-HOIC
01/03/2018 09:00:10,192.168.10.5,172.16.0.2,22,17,41815.0,29,38,6902.0,33630.0,969085.4751942618,1601.9127316198446,1,0,0,0,Benign
01/03/2018 09:01:05,192.168.10.2,172.16.0.2,21,17,3677.0,17,36,11271.0,8784.0,5439381.611065907,14374.830485489558,0,0,0,0,Benign
01/03/2018 09:00:11,192.168.10.11,172.16.0.1,21,6,26003.0,20,41,9640.0,23985.0,1292622.919309576,2344.981355476108,1,1,1,0,Benign
01/03/2018 09:01:17,192.168.10.9,10.0.0.1,21,6,22293.0,18,23,4086.0,3726.0,350266.7802537775,1838.317715105591,1,0,1,0,Benign
01/03/2018 09:00:56,192.168.10.6,172.16.0.1,22,6,,15,49,13575.0,33908.0,1147209.4708866875,1546.2672143029715,0,0,0,0,Benign
01/03/2018 09:00:45,192.168.10.3,10.0.0.1,80,17,1295.0,39,43,21177.0,29197.0,38600766.28352491,62835.249042145595,1,0,0,0,Benign
01/03/2018 09:00:45,192.168.10.14,172.16.0.2,3389,17,43166.0,40,40,28560.0,18760.0,1095979.2477302204,1852.8812303131367,1,1,0,0,Benign
01/03/2018 09:00:57,192.168.10.6,172.16.0.1,21,17,18118.0,18,39,1476.0,6708.0,451456.3106796117,3144.3071491615183,1,0,1,0,Benign
01/03/2018 09:01:32,192.168.10.4,172.16.0.2,8080,17,5293.0,15,42,8145.0,38136.0,8727324.156138036,10748.632849330568,0,1,1,0,Benign
